epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,528.171,0.7403,0.62387,1.06033,0.83888,0.52453,0.53901,0.38449,1.46713,1.91078,1.63047,0.0002872,0.0002872,0.0002872
146,531.673,0.71464,0.61063,1.03176,0.87711,0.51137,0.53437,0.38464,1.49564,1.96644,1.65756,0.00028225,0.00028225,0.00028225
147,535.127,0.70301,0.61292,1.0378,0.83878,0.49463,0.52891,0.39426,1.44284,2.02879,1.6153,0.0002773,0.0002773,0.0002773
148,538.79,0.7099,0.61029,1.04054,0.82149,0.49463,0.52139,0.38585,1.43721,2.02339,1.62885,0.00027235,0.00027235,0.00027235
149,542.202,0.68767,0.60177,1.03368,0.84603,0.49822,0.52469,0.3883,1.43773,2.03128,1.66551,0.0002674,0.0002674,0.0002674
150,548.012,0.70585,0.61542,1.05193,0.90437,0.50069,0.5403,0.39401,1.46305,1.93746,1.63923,0.00026245,0.00026245,0.00026245
151,554.682,0.68618,0.58911,1.03735,0.86854,0.50375,0.55126,0.39159,1.48873,1.86023,1.5828,0.0002575,0.0002575,0.0002575
152,558.736,0.68629,0.59259,1.0273,0.81256,0.53611,0.55626,0.40034,1.46799,1.84858,1.55937,0.00025255,0.00025255,0.00025255
153,562.203,0.69601,0.59548,1.03079,0.83999,0.52321,0.55693,0.40067,1.43183,1.87946,1.58107,0.0002476,0.0002476,0.0002476
154,565.678,0.69267,0.59871,1.0384,0.82997,0.51847,0.55157,0.40733,1.41351,1.97763,1.61626,0.00024265,0.00024265,0.00024265
155,569.16,0.67304,0.59211,1.0339,0.82314,0.50645,0.54417,0.39939,1.4309,1.94979,1.66887,0.0002377,0.0002377,0.0002377
156,573.25,0.69603,0.60028,1.0367,0.88377,0.50069,0.54704,0.40045,1.41093,1.90065,1.64287,0.00023275,0.00023275,0.00023275
157,580.847,0.68289,0.58422,1.02619,0.87471,0.49181,0.53527,0.39047,1.42601,1.92566,1.6349,0.0002278,0.0002278,0.0002278
158,586.369,0.69421,0.59623,1.04178,0.90108,0.51188,0.55869,0.41305,1.4212,1.96969,1.61655,0.00022285,0.00022285,0.00022285
159,589.837,0.67973,0.58544,1.02845,0.84238,0.51871,0.56306,0.41887,1.3926,1.89114,1.5688,0.0002179,0.0002179,0.0002179
160,593.348,0.64219,0.54983,0.99663,0.86296,0.4868,0.54885,0.41301,1.40812,1.95337,1.58781,0.00021295,0.00021295,0.00021295
161,596.79,0.68071,0.55697,1.02103,0.83114,0.5097,0.53575,0.39327,1.44506,2.00569,1.65219,0.000208,0.000208,0.000208
162,600.236,0.6744,0.581,1.02977,0.84091,0.50167,0.54374,0.39354,1.45192,1.91311,1.66664,0.00020305,0.00020305,0.00020305
163,603.731,0.65309,0.56182,1.01786,0.90439,0.5097,0.54615,0.39352,1.43784,1.85997,1.6494,0.0001981,0.0001981,0.0001981
164,610.577,0.66608,0.56488,1.01924,0.88073,0.5097,0.54195,0.391,1.4336,1.87222,1.6585,0.00019315,0.00019315,0.00019315
165,617.228,0.64611,0.55548,1.00821,0.87751,0.50093,0.53297,0.387,1.46455,1.96871,1.70525,0.0001882,0.0001882,0.0001882
166,623.765,0.65739,0.55021,1.01317,0.85625,0.5097,0.53897,0.38953,1.45968,1.96245,1.6866,0.00018325,0.00018325,0.00018325
167,630.595,0.65732,0.55106,1.01356,0.89117,0.5153,0.54981,0.3913,1.45925,1.95775,1.65364,0.0001783,0.0001783,0.0001783
168,637.417,0.65958,0.56573,1.02258,0.83731,0.50969,0.54536,0.39653,1.44237,1.93118,1.64539,0.00017335,0.00017335,0.00017335
169,644.057,0.6491,0.5446,1.00047,0.83044,0.50798,0.54942,0.40732,1.43794,1.96651,1.64127,0.0001684,0.0001684,0.0001684
